unit,method,metric,response,category,n,median_dRMSE,pct_sites_improved,p_onesided_wilcoxon,q_BH,sig
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,High,22,-0.00061,54.5,0.3975,0.5796,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,High,22,-0.92314,59.1,0.1212,0.5796,ns
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,High,22,-0.99193,59.1,0.09704,0.5796,ns
M1vsM2_12m,tertiles,Absolute Mortality,WUE,High,22,0.01028,45.5,0.5129,0.5796,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,High,22,-0.01147,59.1,0.3851,0.5796,ns
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,Low+Mid,43,-0.00025,53.5,0.488,0.5796,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,Low+Mid,43,0.05021,48.8,0.4687,0.5796,ns
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,Low+Mid,43,-0.30194,58.1,0.1655,0.5796,ns
M1vsM2_12m,tertiles,Absolute Mortality,WUE,Low+Mid,43,0.00055,48.8,0.3385,0.5796,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,Low+Mid,43,-0.00036,51.2,0.729,0.7811,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,High,22,-0.00117,59.1,0.3975,0.5796,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,High,22,-0.68375,59.1,0.1732,0.5796,ns
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,High,22,-1.06029,63.6,0.1348,0.5796,ns
M1vsM2_12m,tertiles,Relative Mortality,WUE,High,22,0.0027,50,0.4228,0.5796,ns
M1vsM2_12m,tertiles,Relative Mortality,uWUE,High,22,-0.01172,63.6,0.2581,0.5796,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,Low+Mid,43,-0.00022,51.2,0.5217,0.5796,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,Low+Mid,43,0.05021,48.8,0.4305,0.5796,ns
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,Low+Mid,43,-0.14335,55.8,0.1454,0.5796,ns
M1vsM2_12m,tertiles,Relative Mortality,WUE,Low+Mid,43,0.00472,46.5,0.4069,0.5796,ns
M1vsM2_12m,tertiles,Relative Mortality,uWUE,Low+Mid,43,0.00379,48.8,0.7925,0.7959,ns
M1vsM2_12m,tertiles,Relative Disturbance,ETmax,High,22,-0.00117,59.1,0.5129,0.5796,ns
M1vsM2_12m,tertiles,Relative Disturbance,GPPsat,High,22,-0.68375,59.1,0.1732,0.5796,ns
M1vsM2_12m,tertiles,Relative Disturbance,NEPmax,High,22,-0.99193,59.1,0.2179,0.5796,ns
M1vsM2_12m,tertiles,Relative Disturbance,WUE,High,22,0.0027,50,0.3851,0.5796,ns
M1vsM2_12m,tertiles,Relative Disturbance,uWUE,High,22,-0.01172,63.6,0.2477,0.5796,ns
M1vsM2_12m,tertiles,Relative Disturbance,ETmax,Low+Mid,43,-0.00022,51.2,0.4639,0.5796,ns
M1vsM2_12m,tertiles,Relative Disturbance,GPPsat,Low+Mid,43,0.05021,48.8,0.4305,0.5796,ns
M1vsM2_12m,tertiles,Relative Disturbance,NEPmax,Low+Mid,43,-0.30194,58.1,0.08156,0.5796,ns
M1vsM2_12m,tertiles,Relative Disturbance,WUE,Low+Mid,43,0.00472,46.5,0.421,0.5796,ns
M1vsM2_12m,tertiles,Relative Disturbance,uWUE,Low+Mid,43,0.00379,48.8,0.7959,0.7959,ns
M1vsM2_12m,equal_width,Absolute Mortality,ETmax,Low+Mid,62,-0.00037,53.2,0.4222,0.6763,ns
M1vsM2_12m,equal_width,Absolute Mortality,GPPsat,Low+Mid,62,-0.08709,53.2,0.1666,0.6398,ns
M1vsM2_12m,equal_width,Absolute Mortality,NEPmax,Low+Mid,62,-0.55504,59.7,0.03634,0.4543,ns
M1vsM2_12m,equal_width,Absolute Mortality,WUE,Low+Mid,62,0.00263,48.4,0.2663,0.6398,ns
M1vsM2_12m,equal_width,Absolute Mortality,uWUE,Low+Mid,62,-0.00446,54.8,0.6158,0.6998,ns
M1vsM2_12m,equal_width,Absolute Mortality,ETmax,High,3,-0.00072,66.7,,,""
M1vsM2_12m,equal_width,Absolute Mortality,GPPsat,High,3,0.51655,33.3,,,""
M1vsM2_12m,equal_width,Absolute Mortality,NEPmax,High,3,1.2213,33.3,,,""
M1vsM2_12m,equal_width,Absolute Mortality,WUE,High,3,0.04617,33.3,,,""
M1vsM2_12m,equal_width,Absolute Mortality,uWUE,High,3,0.0194,33.3,,,""
