unit,method,metric,response,category,n,median_dRMSE,pct_sites_improved,p_onesided_wilcoxon,q_BH,sig
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,High,22,0.00048,45.5,0.4871,0.8103,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,High,22,-0.61993,59.1,0.2085,0.695,ns
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,High,22,-0.73045,72.7,0.05583,0.695,ns
M1vsM2_12m,tertiles,Absolute Mortality,WUE,High,22,-0.00453,54.5,0.5388,0.8103,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,High,22,-0.00151,50,0.7821,0.869,ns
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,Low+Mid,43,0.00061,44.2,0.8158,0.8741,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,Low+Mid,43,-0.08633,51.2,0.5884,0.8103,ns
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,Low+Mid,43,-0.42946,55.8,0.1874,0.695,ns
M1vsM2_12m,tertiles,Absolute Mortality,WUE,Low+Mid,43,-0.01329,58.1,0.3429,0.7348,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,Low+Mid,43,-0.00829,58.1,0.3976,0.7952,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,High,22,-0.00089,54.5,0.3365,0.7348,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,High,22,-0.64632,63.6,0.1993,0.695,ns
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,High,22,-0.96208,68.2,0.1571,0.695,ns
M1vsM2_12m,tertiles,Relative Mortality,WUE,High,22,-0.00453,54.5,0.6753,0.8103,ns
M1vsM2_12m,tertiles,Relative Mortality,uWUE,High,22,-0.0113,54.5,0.6273,0.8103,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,Low+Mid,43,7e-04,39.5,0.8852,0.8987,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,Low+Mid,43,0.02471,48.8,0.6526,0.8103,ns
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,Low+Mid,43,-0.42946,58.1,0.1013,0.695,ns
M1vsM2_12m,tertiles,Relative Mortality,WUE,Low+Mid,43,-0.01329,58.1,0.2552,0.7284,ns
M1vsM2_12m,tertiles,Relative Mortality,uWUE,Low+Mid,43,-0.00615,55.8,0.56,0.8103,ns
M1vsM2_12m,tertiles,Relative Disturbance,ETmax,High,22,-0.00089,54.5,0.2905,0.7284,ns
M1vsM2_12m,tertiles,Relative Disturbance,GPPsat,High,22,-0.61993,63.6,0.2085,0.695,ns
M1vsM2_12m,tertiles,Relative Disturbance,NEPmax,High,22,-0.73045,68.2,0.1904,0.695,ns
M1vsM2_12m,tertiles,Relative Disturbance,WUE,High,22,-0.00453,54.5,0.6395,0.8103,ns
M1vsM2_12m,tertiles,Relative Disturbance,uWUE,High,22,-0.00151,50,0.7205,0.8314,ns
M1vsM2_12m,tertiles,Relative Disturbance,ETmax,Low+Mid,43,0.00096,39.5,0.8987,0.8987,ns
M1vsM2_12m,tertiles,Relative Disturbance,GPPsat,Low+Mid,43,0.02471,48.8,0.6301,0.8103,ns
M1vsM2_12m,tertiles,Relative Disturbance,NEPmax,Low+Mid,43,-0.42975,58.1,0.07975,0.695,ns
M1vsM2_12m,tertiles,Relative Disturbance,WUE,Low+Mid,43,-0.01329,58.1,0.2914,0.7284,ns
M1vsM2_12m,tertiles,Relative Disturbance,uWUE,Low+Mid,43,-0.00829,58.1,0.4591,0.8103,ns
M1vsM2_12m,equal_width,Absolute Mortality,ETmax,Low+Mid,62,0.00048,45.2,0.7029,0.8441,ns
M1vsM2_12m,equal_width,Absolute Mortality,GPPsat,Low+Mid,62,-0.15538,54.8,0.2527,0.8181,ns
M1vsM2_12m,equal_width,Absolute Mortality,NEPmax,Low+Mid,62,-0.57103,62.9,0.02032,0.2608,ns
