unit,method,metric,response,category,n,median_dRMSE,pct_sites_improved,p_onesided_wilcoxon,q_BH,sig
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,High,31,-0.00161,61.3,0.4493,0.5165,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,High,31,-0.15403,61.3,0.09965,0.1868,ns
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,High,31,-0.18285,58.1,0.1564,0.2303,ns
M1vsM2_12m,tertiles,Absolute Mortality,WUE,High,31,-0.05254,61.3,0.1179,0.1908,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,High,31,-0.03132,61.3,0.1612,0.2303,ns
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,Low+Mid,62,2e-04,48.4,0.5778,0.5778,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,Low+Mid,62,-0.82211,69.4,0.002068,0.06205,ns
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,Low+Mid,62,-0.96379,64.5,0.006406,0.06406,ns
M1vsM2_12m,tertiles,Absolute Mortality,WUE,Low+Mid,62,-0.01541,53.2,0.07938,0.1609,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,Low+Mid,62,-0.00037,50,0.1208,0.1908,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,High,31,-0.00087,61.3,0.4649,0.5165,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,High,31,-0.75101,74.2,0.004198,0.06297,ns
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,High,31,-0.31399,58.1,0.05512,0.1486,ns
M1vsM2_12m,tertiles,Relative Mortality,WUE,High,31,-0.04767,58.1,0.1179,0.1908,ns
M1vsM2_12m,tertiles,Relative Mortality,uWUE,High,31,-0.01686,51.6,0.295,0.3848,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,Low+Mid,62,2e-04,48.4,0.5084,0.5447,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,Low+Mid,62,-0.45664,62.9,0.02692,0.101,ns
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,Low+Mid,62,-0.74228,64.5,0.01461,0.06721,ns
M1vsM2_12m,tertiles,Relative Mortality,WUE,Low+Mid,62,-0.0271,54.8,0.08043,0.1609,ns
M1vsM2_12m,tertiles,Relative Mortality,uWUE,Low+Mid,62,-0.02234,54.8,0.0632,0.1486,ns
M1vsM2_12m,tertiles,Relative Disturbance,ETmax,High,31,-0.00018,54.8,0.5661,0.5778,ns
M1vsM2_12m,tertiles,Relative Disturbance,GPPsat,High,31,-0.75101,71,0.01181,0.06721,ns
M1vsM2_12m,tertiles,Relative Disturbance,NEPmax,High,31,-0.31399,58.1,0.06441,0.1486,ns
M1vsM2_12m,tertiles,Relative Disturbance,WUE,High,31,-0.03573,54.8,0.1811,0.2469,ns
M1vsM2_12m,tertiles,Relative Disturbance,uWUE,High,31,-0.01686,51.6,0.3226,0.4032,ns
M1vsM2_12m,tertiles,Relative Disturbance,ETmax,Low+Mid,62,-0.00034,51.6,0.4609,0.5165,ns
M1vsM2_12m,tertiles,Relative Disturbance,GPPsat,Low+Mid,62,-0.45738,64.5,0.01568,0.06721,ns
M1vsM2_12m,tertiles,Relative Disturbance,NEPmax,Low+Mid,62,-0.49192,64.5,0.01289,0.06721,ns
M1vsM2_12m,tertiles,Relative Disturbance,WUE,Low+Mid,62,-0.0374,56.5,0.04622,0.1486,ns
M1vsM2_12m,tertiles,Relative Disturbance,uWUE,Low+Mid,62,-0.02234,54.8,0.05815,0.1486,ns
M1vsM2_12m,equal_width,Absolute Mortality,ETmax,Low+Mid,88,-0.00023,52.3,0.5075,0.562,ns
M1vsM2_12m,equal_width,Absolute Mortality,GPPsat,Low+Mid,88,-0.68891,68.2,0.0005252,0.01043,*
M1vsM2_12m,equal_width,Absolute Mortality,NEPmax,Low+Mid,88,-0.49192,64.8,0.002006,0.01043,*
M1vsM2_12m,equal_width,Absolute Mortality,WUE,Low+Mid,88,-0.04522,56.8,0.02279,0.06511,ns
M1vsM2_12m,equal_width,Absolute Mortality,uWUE,Low+Mid,88,-0.01723,54.5,0.03798,0.09495,ns
M1vsM2_12m,equal_width,Absolute Mortality,ETmax,High,5,-0.00181,60,,,""
M1vsM2_12m,equal_width,Absolute Mortality,GPPsat,High,5,0.27894,40,,,""
M1vsM2_12m,equal_width,Absolute Mortality,NEPmax,High,5,0.97357,20,,,""
M1vsM2_12m,equal_width,Absolute Mortality,WUE,High,5,0.04797,40,,,""
M1vsM2_12m,equal_width,Absolute Mortality,uWUE,High,5,0.02843,40,,,""
M1vsM2_12m,equal_width,Relative Mortality,ETmax,Low+Mid,86,-0.00023,52.3,0.536,0.562,ns
M1vsM2_12m,equal_width,Relative Mortality,GPPsat,Low+Mid,86,-0.66742,67.4,0.001705,0.01043,*
M1vsM2_12m,equal_width,Relative Mortality,NEPmax,Low+Mid,86,-0.4006,64,0.005075,0.0203,*
