unit,method,metric,response,category,n,median_dRMSE,pct_sites_improved,p_onesided_wilcoxon,q_BH,sig
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,High,31,-0.00015,54.8,0.295,0.3687,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,High,31,-0.06414,54.8,0.2253,0.314,ns
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,High,31,-0.27937,61.3,0.06692,0.2247,ns
M1vsM2_12m,tertiles,Absolute Mortality,WUE,High,31,-0.05124,64.5,0.06692,0.2247,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,High,31,-0.04249,64.5,0.06441,0.2247,ns
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,Mid,31,0.00018,48.4,0.7688,0.7806,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,Mid,31,-0.81761,61.3,0.04887,0.2247,ns
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,Mid,31,-0.76009,61.3,0.07215,0.2247,ns
M1vsM2_12m,tertiles,Absolute Mortality,WUE,Mid,31,0.00935,45.2,0.3226,0.3904,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,Mid,31,0.00262,48.4,0.4883,0.5359,ns
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,Low,31,-9e-04,61.3,0.1709,0.314,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,Low,31,-0.42974,58.1,0.1141,0.2741,ns
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,Low,31,-1.17261,61.3,0.08058,0.2266,ns
M1vsM2_12m,tertiles,Absolute Mortality,WUE,Low,31,-0.03646,61.3,0.08974,0.2375,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,Low,31,-0.02962,54.8,0.2621,0.337,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,High,31,2e-05,48.4,0.6774,0.7089,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,High,31,-0.53547,61.3,0.05297,0.2247,ns
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,High,31,-0.41802,64.5,0.03807,0.2247,ns
M1vsM2_12m,tertiles,Relative Mortality,WUE,High,31,-0.01405,58.1,0.1179,0.2741,ns
M1vsM2_12m,tertiles,Relative Mortality,uWUE,High,31,-0.03734,64.5,0.1218,0.2741,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,Mid,31,-0.00025,61.3,0.197,0.314,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,Mid,31,-0.03754,51.6,0.3296,0.3904,ns
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,Mid,31,-0.19887,58.1,0.166,0.314,ns
M1vsM2_12m,tertiles,Relative Mortality,WUE,Mid,31,-0.03646,58.1,0.05512,0.2247,ns
M1vsM2_12m,tertiles,Relative Mortality,uWUE,Mid,31,0.00262,48.4,0.4032,0.4537,ns
